timestamp,open,high,low,close,volume
2020-09-08,165.8000,166.9000,160.5000,161.0800,22622677
2020-09-04,171.3100,172.8300,164.0000,171.0500,18867266
2020-09-03,175.0000,180.8500,168.1200,168.7700,27799393
2020-09-02,172.7398,175.0000,171.4500,174.7800,16552085
2020-09-01,170.7100,175.4900,169.2500,172.1000,18997415
2020-08-31,174.6500,175.2699,171.7000,171.8200,16264298
2020-08-28,175.1100,177.2800,172.5700,175.8000,20383897
2020-08-27,174.7100,181.3100,173.5601,174.2000,29548068
2020-08-26,173.8000,174.4299,171.3500,171.9000,16189790
2020-08-25,180.4600,180.6300,172.4400,174.7300,31318540
2020-08-24,168.7800,178.2700,167.9300,178.2700,39317105
2020-08-21,168.3500,170.0839,167.2700,167.5000,16945902
2020-08-20,168.5400,170.8400,165.8600,169.5800,23213414
2020-08-19,170.4400,174.1000,169.0900,169.2700,25601504
2020-08-18,172.0100,173.2380,169.0100,170.2300,21488490
2020-08-17,178.2400,178.2900,171.4085,172.0100,23240046
2020-08-14,173.0900,179.4700,172.3500,178.0800,32414091
2020-08-13,173.6200,179.4700,172.4301,174.7300,22958755
2020-08-12,184.0100,184.1490,173.1900,175.4400,40702391
2020-08-11,184.5100,189.9700,179.5300,180.1300,61036613
2020-08-10,171.3600,179.7900,171.3300,179.4100,35857657
2020-08-07,171.5000,171.8599,168.7000,170.0200,19317971
2020-08-06,172.8000,175.5700,170.6000,172.2000,32921629
2020-08-05,167.6000,174.9800,166.4000,174.2800,46550968
2020-08-04,164.6300,167.4000,163.0100,165.0700,30853453
2020-08-03,156.5100,163.5800,153.4100,162.2700,38520485
2020-07-31,161.5500,163.4000,156.2600,158.0000,30286699
2020-07-30,162.8800,164.5499,160.6400,161.9500,29140019
2020-07-29,172.9000,173.0100,162.2500,166.0100,51709634
2020-07-28,168.5000,173.7400,168.2300,170.8400,25349138
2020-07-27,173.1900,174.1400,169.0000,170.2100,30243773
2020-07-24,175.6800,181.0999,173.6000,173.7600,28548036
2020-07-23,178.0000,182.5000,175.4200,176.4500,29587221
